id,breed_id,ems,english
288,1,c 01 21 61, lilac van tabby blue eyed 
289,1,d 01 21 61, red van tabby blue eyed 
290,1,e 01 21 61, cream van tabby blue eyed 
291,1,f 01 21 61, black tortie van tabby blue eyed 
292,1,g 01 21 61, blue tortie van tabby blue eyed 
293,1,h 01 21 61, chocolate tortie van tabby blue eyed 
294,1,j 01 21 61, lilac tortie van tabby blue eyed 
295,1,n 01 21 62, black van tabby orange eyed 
296,1,a 01 21 62, blue van tabby orange eyed 
297,1,b 01 21 62, chocolate van tabby orange eyed 
298,1,c 01 21 62, lilac van tabby orange eyed 
299,1,d 01 21 62, red van tabby orange eyed 
300,1,e 01 21 62, cream van tabby orange eyed 
301,1,f 01 21 62, black tortie van tabby orange eyed 
302,1,g 01 21 62, blue tortie van tabby orange eyed 
303,1,h 01 21 62, chocolate tortie van tabby orange eyed 
304,1,j 01 21 62, lilac tortie van tabby orange eyed 
305,1,n 01 21 63, black van tabby odd eyed 
306,1,a 01 21 63, blue van tabby odd eyed 
307,1,b 01 21 63, chocolate van tabby odd eyed 
308,1,c 01 21 63, lilac van tabby odd eyed 
309,1,d 01 21 63, red van tabby odd eyed 
310,1,e 01 21 63, cream van tabby odd eyed 
311,1,f 01 21 63, black tortie van tabby odd eyed 
312,1,g 01 21 63, blue tortie van tabby odd eyed 
313,1,h 01 21 63, chocolate tortie van tabby odd eyed 
314,1,j 01 21 63, lilac tortie van tabby odd eyed 
315,1,n 02 21 61, black harlequin tabby blue eyed 
316,1,a 02 21 61, blue harlequin tabby blue eyed 
317,1,b 02 21 61, chocolate harlequin tabby blue eyed 
318,1,c 02 21 61, lilac harlequin tabby blue eyed 
319,1,d 02 21 61, red harlequin tabby blue eyed 
320,1,e 02 21 61, cream harlequin tabby blue eyed 
321,1,f 02 21 61, black tortie harlequin tabby blue eyed 
322,1,g 02 21 61, blue tortie harlequin tabby blue eyed 
323,1,h 02 21 61, chocolate tortie harlequin tabby blue eyed 
324,1,j 02 21 61, lilac tortie harlequin tabby blue eyed 
325,1,n 02 21 62, black harlequin tabby orange eyed 
326,1,a 02 21 62, blue harlequin tabby orange eyed 
327,1,b 02 21 62, chocolate harlequin tabby orange eyed 
328,1,c 02 21 62, lilac harlequin tabby orange eyed 
329,1,d 02 21 62, red harlequin tabby orange eyed 
330,1,e 02 21 62, cream harlequin tabby orange eyed 
331,1,f 02 21 62, black tortie harlequin tabby orange eyed 
332,1,g 02 21 62, blue tortie harlequin tabby orange eyed 
333,1,h 02 21 62, chocolate tortie harlequin tabby orange eyed 
334,1,j 02 21 62, lilac tortie harlequin tabby orange eyed 
335,1,n 02 21 63, black harlequin tabby odd eyed 
336,1,a 02 21 63, blue harlequin tabby odd eyed 
337,1,b 02 21 63, chocolate harlequin tabby odd eyed 
338,1,c 02 21 63, lilac harlequin tabby odd eyed 
339,1,d 02 21 63, red harlequin tabby odd eyed 
340,1,e 02 21 63, cream harlequin tabby odd eyed 
341,1,f 02 21 63, black tortie harlequin tabby odd eyed 
342,1,g 02 21 63, blue tortie harlequin tabby odd eyed 
343,1,h 02 21 63, chocolate tortie harlequin tabby odd eyed 
344,1,j 02 21 63, lilac tortie harlequin tabby odd eyed 
345,1,n 03 22, black bicolour blotched 
346,1,a 03 22, blue bicolour blotched 
347,1,b 03 22, chocolate bicolour blotched 
348,1,c 03 22, lilac bicolour blotched 
349,1,d 03 22, red bicolour blotched 
350,1,e 03 22, cream bicolour blotched 
351,1,f 03 22, black tortie bicolour blotched 
352,1,g 03 22, blue tortie bicolour blotched 
353,1,h 03 22, chocolate tortie bicolour blotched 
354,1,j 03 22, lilac tortie bicolour blotched 
355,1,n 03 23, black bicolour mackerel 
356,1,a 03 23, blue bicolour mackerel 
357,1,b 03 23, chocolate bicolour mackerel 
358,1,c 03 23, lilac bicolour mackerel 
359,1,d 03 23, red bicolour mackerel 
360,1,e 03 23, cream bicolour mackerel 
361,1,f 03 23, black tortie bicolour mackerel 
362,1,g 03 23, blue tortie bicolour mackerel 
363,1,h 03 23, chocolate tortie bicolour mackerel 
364,1,j 03 23, lilac tortie bicolour mackerel 
365,1,n 03 24, black bicolour spotted 
366,1,a 03 24, blue bicolour spotted 
367,1,b 03 24, chocolate bicolour spotted 
368,1,c 03 24, lilac bicolour spotted 
369,1,d 03 24, red bicolour spotted 
370,1,e 03 24, cream bicolour spotted 
371,1,f 03 24, black tortie bicolour spotted 
372,1,g 03 24, blue tortie bicolour spotted 
373,1,h 03 24, chocolate tortie bicolour spotted 
374,1,j 03 24, lilac tortie bicolour spotted 
375,1,ns 01 21 61, black silver van tabby blue eyed 
376,1,as 01 21 61, blue silver van tabby blue eyed 
377,1,bs 01 21 61, chocolate silver van tabby blue eyed 
378,1,cs 01 21 61, lilac silver van tabby blue eyed 
379,1,ds 01 21 61, red silver van tabby blue eyed 
380,1,es 01 21 61, cream silver van tabby blue eyed 
381,1,fs 01 21 61, black tortie silver van tabby blue eyed 
382,1,gs 01 21 61, blue tortie silver van tabby blue eyed 
